,year,forcing_mean,forcing_std
0,1750.0,0.0,0.0
1,1751.0,-0.030083938,0.00640761
2,1752.0,-0.03936288,0.018180655
3,1753.0,-0.049904007,0.01947628
4,1754.0,-0.070006564,0.025320388
5,1755.0,-0.7422646,0.12590817
6,1756.0,-0.08012774,0.031134244
7,1757.0,-0.08012774,0.031134244
8,1758.0,-0.08012774,0.031134244
9,1759.0,-0.14127475,0.062019147
10,1760.0,-0.20062679,0.06872652
11,1761.0,-1.1428711,0.2031674
12,1762.0,-0.33019847,0.05809393
13,1763.0,-0.13970335,0.025384348
14,1764.0,-0.080017835,0.023619285
15,1765.0,-0.09031662,0.036323022
16,1766.0,-0.08033525,0.03625986
17,1767.0,-0.07021406,0.031325527
18,1768.0,-0.009486997,0.022420945
19,1769.0,0.020876542,0.035242762
20,1770.0,0.05068033,0.053413127
21,1771.0,0.030437972,0.043142375
22,1772.0,-0.04990984,0.04113201
23,1773.0,-0.030111492,0.027800541
24,1774.0,-0.020307716,0.024986159
25,1775.0,-0.06079243,0.03539644
26,1776.0,-0.07133356,0.03998937
27,1777.0,-0.07133356,0.03998937
28,1778.0,-0.080833115,0.03580976
29,1779.0,-0.13143902,0.039081544
30,1780.0,-0.12176184,0.053493664
31,1781.0,-0.102117024,0.052753393
32,1782.0,-0.071753494,0.04177584
33,1783.0,-7.987705,1.4596323
34,1784.0,-0.61381924,0.11079352
35,1785.0,-0.19234611,0.054199185
36,1786.0,-0.051716223,0.04060936
37,1787.0,-0.011917864,0.043486156
38,1788.0,-0.11205748,0.05399651
39,1789.0,-0.08249316,0.04933183
40,1790.0,-0.07277818,0.05851263
41,1791.0,-0.06274582,0.05843445
42,1792.0,-0.042643256,0.054845687
43,1793.0,-0.06344535,0.06727401
44,1794.0,-0.2138422,0.07078489
45,1795.0,-0.01297926,0.054590963
46,1796.0,-0.79550457,0.15660404
47,1797.0,-0.093327075,0.059031352
48,1798.0,-0.043724943,0.06290972
49,1799.0,-0.03378137,0.065480016
50,1800.0,-0.02295775,0.068994924
51,1801.0,-0.1329587,0.06616239
52,1802.0,-0.012532365,0.059015784
53,1803.0,0.007354785,0.060991433
54,1804.0,-0.2340198,0.082112975
55,1805.0,-0.07364157,0.0730644
56,1806.0,-0.013358512,0.069095425
57,1807.0,-0.013536116,0.07446885
58,1808.0,-0.023657298,0.07782238
59,1809.0,-6.9766035,1.2940689
60,1810.0,-2.271508,0.4280087
61,1811.0,-0.856943,0.17888492
62,1812.0,-0.3252271,0.10262226
63,1813.0,-0.13464323,0.08685173
64,1814.0,-0.014165905,0.08063275
65,1815.0,-11.692361,2.1616054
66,1816.0,-4.5892987,0.8510583
67,1817.0,-2.4524024,0.4595397
68,1818.0,-0.9475459,0.19258644
69,1819.0,-0.364686,0.1060851
70,1820.0,-0.07383588,0.08609995
71,1821.0,-0.04424749,0.09084364
72,1822.0,-0.05436867,0.093654566
73,1823.0,-0.05436867,0.093654566
74,1824.0,-0.04424749,0.09084364
75,1825.0,-0.03412631,0.088354126
76,1826.0,-0.034546264,0.09186522
77,1827.0,-0.014303906,0.088892795
78,1828.0,0.017758736,0.088293165
79,1829.0,0.017758736,0.088293165
80,1830.0,0.015919827,0.08766574
81,1831.0,-1.5172046,0.30298892
82,1832.0,-1.2369846,0.25113368
83,1833.0,-0.6151048,0.15214762
84,1834.0,-0.2339633,0.10805324
85,1835.0,-4.949091,0.92377436
86,1836.0,-1.4072185,0.28966436
87,1837.0,-0.45438507,0.14482892
88,1838.0,-0.13338031,0.11129245
89,1839.0,-0.03323416,0.10288763
90,1840.0,-0.0031880306,0.10244109
91,1841.0,0.01669912,0.10078015
92,1842.0,0.016470518,0.10143497
93,1843.0,-0.04423249,0.10811588
94,1844.0,-0.004242779,0.10835244
95,1845.0,0.005649804,0.10957598
96,1846.0,-0.04447428,0.11005113
97,1847.0,-0.034797117,0.11522674
98,1848.0,0.037712436,0.10876851
99,1849.0,0.09787976,0.114846624
100,1850.0,-0.022686359,0.116015285
101,1851.0,-0.002621604,0.11528832
102,1852.0,0.057597145,0.11427357
103,1853.0,0.04748818,0.11426531
104,1854.0,0.04680184,0.12025362
105,1855.0,-0.023602402,0.12283478
106,1856.0,-0.96673465,0.22421594
107,1857.0,-1.4884181,0.30934814
108,1858.0,-0.6847194,0.18595977
109,1859.0,-0.23312266,0.13325475
110,1860.0,-0.052693427,0.12947956
111,1861.0,0.007589628,0.12830314
112,1862.0,-0.29364803,0.1441175
113,1863.0,-0.19332431,0.13590042
114,1864.0,-0.09331795,0.13031624
115,1865.0,-0.013128995,0.12875494
116,1866.0,0.007358057,0.13424838
117,1867.0,0.027194213,0.13622868
118,1868.0,0.027194213,0.13622868
119,1869.0,0.037442006,0.13393499
120,1870.0,0.02718102,0.13579327
121,1871.0,0.077227175,0.13963747
122,1872.0,0.067105986,0.13954331
123,1873.0,0.037888885,0.14104116
124,1874.0,0.057864837,0.1404353
125,1875.0,0.06766862,0.14137964
126,1876.0,-0.05284749,0.14638975
127,1877.0,-0.043323852,0.15118988
128,1878.0,0.007680257,0.15079267
129,1879.0,0.037777383,0.15007888
130,1880.0,0.057842135,0.14971602
131,1881.0,0.08820567,0.14701194
132,1882.0,0.08806588,0.14790054
133,1883.0,-1.0863196,0.2738119
134,1884.0,-3.4225392,0.6891952
135,1885.0,-1.4363064,0.3373865
136,1886.0,-0.7542446,0.2323215
137,1887.0,-0.7745522,0.23814784
138,1888.0,-0.3934618,0.19151588
139,1889.0,-0.5736223,0.21689725
140,1890.0,-0.8144503,0.2501439
141,1891.0,-0.5635456,0.21907882
142,1892.0,-0.3326743,0.1955216
143,1893.0,0.03882785,0.17009616
144,1894.0,0.19905254,0.17283648
145,1895.0,0.2490368,0.1692326
146,1896.0,-0.19270511,0.19141196
147,1897.0,-0.19288272,0.18970667
148,1898.0,-0.052608054,0.18083008
149,1899.0,0.118784584,0.17284091
150,1900.0,0.17838126,0.17707989
151,1901.0,0.18832484,0.17774872
152,1902.0,-0.29331803,0.20523822
153,1903.0,-1.566461,0.38605183
154,1904.0,-0.4907747,0.23588102
155,1905.0,-0.060157645,0.19525763
156,1906.0,0.16187868,0.18649456
157,1907.0,0.09133464,0.18913408
158,1908.0,0.091512255,0.19003369
159,1909.0,0.25369057,0.18488076
160,1910.0,0.2430294,0.19102468
161,1911.0,0.26286554,0.1920328
162,1912.0,-0.15770298,0.21653388
163,1913.0,-0.27809155,0.22758742
164,1914.0,0.1041076,0.20020431
165,1915.0,0.3151162,0.1929629
166,1916.0,0.41685283,0.19562115
167,1917.0,0.46719232,0.19730207
168,1918.0,0.50698966,0.20813064
169,1919.0,0.47732854,0.20171046
170,1920.0,0.27636364,0.20617053
171,1921.0,0.28706065,0.20449084
172,1922.0,0.3866471,0.20685668
173,1923.0,0.42668778,0.20646192
174,1924.0,0.3763861,0.20850694
175,1925.0,0.3869296,0.21349171
176,1926.0,0.45742917,0.21268705
177,1927.0,0.50790745,0.21470456
178,1928.0,0.40858656,0.22151929
179,1929.0,0.30914283,0.22682896
180,1930.0,0.41916785,0.22884293
181,1931.0,0.41969264,0.22802578
182,1932.0,0.3290839,0.2319371
183,1933.0,0.34902105,0.2323729
184,1934.0,0.45022482,0.23044382
185,1935.0,0.4804486,0.22956827
186,1936.0,0.5709416,0.2358417
187,1937.0,0.60306185,0.23898433
188,1938.0,0.56275374,0.24021424
189,1939.0,0.60297203,0.24036692
190,1940.0,0.6237392,0.23860665
191,1941.0,0.63317394,0.2426942
192,1942.0,0.57262367,0.24359979
193,1943.0,0.5325613,0.24985883
194,1944.0,0.5827231,0.2488046
195,1945.0,0.61308664,0.24811423
196,1946.0,0.6034453,0.25455448
197,1947.0,0.68428713,0.25849274
198,1948.0,0.7344731,0.2718625
199,1949.0,0.6847145,0.26911736
200,1950.0,0.6745933,0.26785842
201,1951.0,0.64369833,0.2742571
202,1952.0,0.6030979,0.28136334
203,1953.0,0.6045352,0.29271954
204,1954.0,0.56456816,0.30025792
205,1955.0,0.6338651,0.31090647
206,1956.0,0.70481825,0.31728554
207,1957.0,0.78552264,0.3345922
208,1958.0,0.877206,0.35376185
209,1959.0,0.87722117,0.35593182
210,1960.0,0.72647804,0.3689054
211,1961.0,0.54494154,0.37575972
212,1962.0,0.43391508,0.38626307
213,1963.0,-0.38900483,0.45515352
214,1964.0,-1.050948,0.53234583
215,1965.0,-0.31562874,0.46568644
216,1966.0,0.19771408,0.4407054
217,1967.0,0.45958355,0.44418025
218,1968.0,0.21049736,0.46644652
219,1969.0,0.060626693,0.48930147
220,1970.0,0.5019515,0.47774386
221,1971.0,0.81430197,0.47088417
222,1972.0,0.9058059,0.47700155
223,1973.0,0.7969055,0.47923428
224,1974.0,0.6991221,0.4847695
225,1975.0,0.30946073,0.50719315
226,1976.0,0.7438445,0.4950174
227,1977.0,1.0569246,0.48999137
228,1978.0,1.1293349,0.49767908
229,1979.0,1.182049,0.50841177
230,1980.0,1.323995,0.5063317
231,1981.0,1.3553435,0.5128661
232,1982.0,0.11155083,0.5888952
233,1983.0,-0.39890012,0.64920086
234,1984.0,0.705912,0.5610662
235,1985.0,1.1484993,0.549314
236,1986.0,1.1706744,0.5573143
237,1987.0,1.3150402,0.56735516
238,1988.0,1.4976225,0.5735004
239,1989.0,1.6303284,0.5845025
240,1990.0,1.6313133,0.5895106
241,1991.0,0.45891646,0.65842855
242,1992.0,-1.1754817,0.8437633
243,1993.0,0.5497234,0.6539857
244,1994.0,1.2723314,0.61474156
245,1995.0,1.5456758,0.6139525
246,1996.0,1.6265862,0.6137749
247,1997.0,1.7273568,0.61902004
248,1998.0,1.8479475,0.6188616
249,1999.0,1.959886,0.62635094
250,2000.0,2.0211759,0.62835866
251,2001.0,2.0208962,0.6282804
252,2002.0,2.072122,0.6278494
253,2003.0,2.0011206,0.6285279
254,2004.0,2.0545928,0.6249743
255,2005.0,2.0451608,0.62745446
256,2006.0,2.0549126,0.62989837
257,2007.0,2.0958204,0.6313474
258,2008.0,2.0492349,0.62990165
259,2009.0,1.9965925,0.632068
260,2010.0,2.141311,0.6317686
261,2011.0,2.141425,0.6337471
262,2012.0,2.225644,0.6300092
263,2013.0,2.2942243,0.6272077
264,2014.0,2.3568702,0.62365043
265,2015.0,2.4193516,0.6208751
266,2016.0,2.5009046,0.61872023
267,2017.0,2.5575254,0.615465
